entity1,relations,entity2
Q81294,P1073,Q691652
Q81294,P1073,Q2192
Q81294,P1073,Q562334
Q81294,P1073,Q174349
Q81294,P1073,Q535473
Q81294,P1073,Q139191
Q81294,P1073,Q407509
Q81294,P1073,Q215106
Q81294,P1073,Q1570391
Q81294,P1073,Q136218
Q81294,P306,Q388
Q2476929,P1382,Q308859
Q2476929,P1382,Q188728
Q6160,P138,Q42211
Q13147,P927,Q23640
Q13147,P2670,Q265868
Q83193,P105,Q7432
Q3126770,P495,Q30
Q1144586,P1542,Q220764
Q1527,P17,Q30
Q1527,P47,Q1948
Q1527,P47,Q1904
Q1527,P47,Q1546
Q1527,P47,Q1207
Q1527,P131,Q30
Q205883,P17,Q30
Q205883,P1056,Q7397
Q24614,P1072,Q2192
Q24614,P1072,Q26329975
Q24614,P1072,Q215106
Q24614,P1072,Q535473
Q1428393,P1142,Q484275
Q5275616,P452,Q418
Q2005002,P2670,Q853614
Q136218,P144,Q2712
Q25804,P190,Q2973
Q25804,P190,Q40840
Q25804,P17,Q20
Q468402,P186,Q42302
Q688317,P178,Q835702
Q688317,P275,Q185534
Q688317,P1072,Q136218
Q688317,P1072,Q270131
Q688317,P1073,Q136218
Q2635535,P178,Q248
Q2635535,P179,Q213423
Q1349983,P828,Q20204151
