entity1,relations,entity2
Q5090,P279,Q12117
Q5090,P279,Q235352
Q5090,P527,Q41534
Q10949665,P279,Q326653
Q10949665,P425,Q181487
Q8078,P527,Q179289
Q8078,P31,Q336
Q259059,P1382,Q8436
Q26643,P921,Q601401
Q26643,P460,Q601401
Q326653,P425,Q4116214
Q1630279,P1889,Q690194
Q48013,P111,Q11423
Q156223,P279,Q43183
Q167270,P279,Q3695082
Q167270,P279,Q80071
Q224617,P279,Q41176
Q336,P527,Q901
Q336,P3095,Q901
Q336,P1056,Q9081
Q298,P530,Q142
Q298,P530,Q750
Q298,P530,Q33
Q298,P530,Q35
Q298,P530,Q419
Q298,P530,Q43
Q298,P530,Q77
Q298,P530,Q833
Q298,P530,Q928
Q298,P530,Q41
Q298,P530,Q902
Q298,P530,Q96
Q298,P36,Q2887
Q298,P47,Q750
Q298,P47,Q419
Q298,P463,Q41550
Q298,P31,Q6256
Q157470,P31,Q151885
Q157470,P461,Q157165
Q177,P527,Q36465
Q177,P527,Q42962
Q177,P527,Q11254
Q177,P1419,Q17278
Q677,P279,Q12140
Q677,P31,Q11426
Q744,P279,Q214609
Q14761450,P279,Q4175034
Q1712140,P279,Q9332
Q796919,P1889,Q946865
Q4750689,P31,Q4830453
Q127980,P279,Q214609
Q152,P279,Q729
Q72827,P31,Q79529
Q72827,P527,Q623
Q264238,P279,Q41298
Q192630,P279,Q11471
Q192630,P156,Q193168
Q192630,P361,Q11471
Q192630,P31,Q173253
Q192630,P461,Q344
Q2785824,P279,Q83267
Q34486,P366,Q765633
Q8068,P828,Q7925
Q8068,P1542,Q4
Q188913,P279,Q131596
Q188913,P361,Q11451
Q7925,P279,Q11663
Q7925,P1542,Q8068
Q7925,P527,Q283
Q21450635,P460,Q30242516
Q218038,P31,Q4830453
Q218038,P452,Q11650
Q10566551,P461,Q104493
Q10566551,P1552,Q190258
Q10566551,P1889,Q2526135
Q15098235,P1382,Q481609
Q59434791,P279,Q49848
Q59434791,P366,Q194489
Q15180,P463,Q191582
Q15180,P47,Q33
Q15180,P47,Q43
Q15180,P530,Q35
Q15180,P530,Q20
Q15180,P530,Q43
Q15180,P530,Q928
Q15180,P530,Q833
Q15180,P138,Q7270
Q45190,P31,Q131790
Q165,P279,Q2221906
Q186619,P279,Q628523
Q186619,P3712,Q1231428
Q726686,P361,Q730920
Q1137632,P31,Q43229
Q217164,P461,Q221706
Q603253,P31,Q4830453
Q603253,P1454,Q658255
Q43483,P1889,Q483453
Q1200733,P461,Q4290
Q282,P366,Q40050
Q282,P462,Q23444
Q380075,P279,Q40348
Q380075,P460,Q40348
Q327245,P279,Q43229
Q1364,P527,Q40763
Q193078,P279,Q481609
Q193078,P828,Q171558
Q181487,P279,Q1379672
Q36133,P461,Q8063
Q36133,P1889,Q2
Q191768,P279,Q10990
Q273724,P279,Q41207
Q23444,P279,Q9128
Q40763,P279,Q2095
Q788790,P279,Q11028
Q505213,P279,Q83405
Q505213,P279,Q4830453
Q177634,P279,Q43229
Q190868,P279,Q161928
Q172226,P279,Q39546
Q1770203,P279,Q167676
Q35758,P1552,Q11423
Q35758,P1552,Q11466
Q12200,P495,Q142
Q12136,P461,Q12147
Q764,P1889,Q756
Q35852,P111,Q11500
Q42240,P279,Q21004260
Q178843,P279,Q8142
Q10884,P2670,Q2923673
Q10884,P2670,Q33971
Q10884,P1672,Q287
Q197204,P361,Q729
Q690194,P1889,Q1630279
Q2844,P190,Q2887
Q205555,P279,Q160402
Q205555,P527,Q328835
Q205555,P1889,Q173253
Q164359,P279,Q9081
Q164359,P1382,Q46744
Q164359,P1382,Q9081
Q25294,P527,Q200266
Q25294,P1552,Q11423
Q25294,P366,Q385378
Q8441,P461,Q467
Q8441,P361,Q8436
Q2047030,P279,Q282
Q789774,P279,Q44167
Q22698,P279,Q2221906
Q2138622,P279,Q336
Q2138622,P2578,Q2095
Q9964,P527,Q9963
Q43193,P366,Q651658
Q8094,P1269,Q11663
Q4175034,P425,Q49371
Q4175034,P279,Q192581
Q160289,P279,Q160402
Q160289,P31,Q173253
Q160289,P527,Q11461
Q5167661,P31,Q151885
Q6097,P279,Q61951
Q6097,P527,Q283
Q6097,P186,Q11002
Q6097,P186,Q283
Q765633,P366,Q7590
Q765633,P366,Q650711
Q765633,P366,Q42240
Q765633,P3095,Q2095549
Q13360264,P2079,Q720398
Q40867,P279,Q79529
Q208046,P31,Q46970
Q194489,P279,Q1344851
Q8502,P279,Q2221906
Q8502,P527,Q207326
Q17131110,P279,Q15978655
Q79782,P1552,Q11376
Q746628,P279,Q180516
Q165437,P366,Q11004
Q165437,P279,Q11004
Q1664551,P31,Q151885
Q8016240,P710,Q41487
Q15645384,P279,Q12117
Q15645384,P279,Q2095
Q28207096,P31,Q4830453
Q2974437,P31,Q4830453
Q93352,P279,Q468756
Q7216332,P279,Q309100
Q7216332,P279,Q748250
Q7216332,P460,Q309100
Q7216332,P1889,Q309100
Q7216332,P1382,Q748250
Q121117,P279,Q68
Q215536,P279,Q43845
Q215536,P425,Q601401
Q1489259,P279,Q6266
Q231043,P279,Q628523
Q7958,P3712,Q46744
Q1634657,P31,Q5
Q1634657,P106,Q193391
Q5283,P186,Q623
Q5283,P527,Q623
Q7944,P1542,Q167903
Q7944,P1542,Q3839081
Q7561,P462,Q23444
Q674911,P31,Q4830453
Q179723,P2283,Q729
Q179723,P2283,Q5
Q1123417,P279,Q214609
Q371174,P279,Q11024
Q28813,P279,Q83267
Q334401,P279,Q2143522
Q334401,P361,Q10566551
Q12187,P279,Q12140
Q12187,P138,Q3
Q12187,P31,Q12140
Q830,P1672,Q192628
Q5,P1889,Q2472587
Q5,P1889,Q215627
Q5,P2670,Q215627
Q5,P279,Q215627
Q11190,P3095,Q39631
Q11190,P1889,Q12140
Q18621601,P279,Q12136
Q98539357,P460,Q1474278
Q234129,P31,Q8142
Q174984,P279,Q42848
Q174984,P1542,Q11028
Q50000,P279,Q2995644
Q134574,P279,Q39546
Q134574,P279,Q11019
Q4182927,P279,Q160117
Q129238,P279,Q4830453
Q12140,P279,Q8386
Q12140,P1889,Q8386
Q12140,P1889,Q11190
Q431289,P279,Q167270
Q283202,P279,Q39594
Q283202,P1889,Q44782
Q82604,P3095,Q5322166
Q5322166,P425,Q82604
Q36794,P279,Q264661
Q36794,P527,Q35473
Q8492,P279,Q40050
Q8492,P527,Q11004
Q8492,P31,Q11435
Q28575,P150,Q515
Q12117,P279,Q2995529
Q188577,P31,Q211364
Q24091434,P279,Q2979
Q623,P138,Q24489
Q7270,P279,Q7174
Q7270,P279,Q5589178
Q4821052,P31,Q5
Q192628,P279,Q10990
Q192628,P1582,Q830
Q1123399,P31,Q4830453
Q483453,P1889,Q43483
Q483453,P366,Q747713
Q163446,P527,Q28823
Q96,P463,Q41550
Q96,P463,Q182000
Q96,P31,Q6256
Q96,P530,Q20
Q96,P530,Q419
Q96,P530,Q43
Q96,P530,Q730
Q96,P530,Q77
Q96,P530,Q869
Q96,P530,Q928
Q96,P530,Q142
Q96,P530,Q31
Q96,P530,Q35
Q96,P530,Q33
Q96,P530,Q833
Q96,P530,Q736
Q96,P530,Q750
Q96,P530,Q41
Q96,P530,Q902
Q96,P530,Q298
Q1459595,P31,Q4830453
Q31615,P279,Q39594
Q8063,P461,Q36133
Q8425,P31,Q151885
Q8425,P2670,Q5
Q133346,P1889,Q1355821
Q584,P31,Q1267889
Q584,P17,Q142
Q584,P205,Q142
Q4022,P527,Q283
Q697279,P279,Q49848
Q1123823,P31,Q22687
Q1123823,P31,Q4830453
Q1123823,P17,Q33
Q525,P398,Q2
Q41803,P111,Q11423
Q828224,P111,Q36253
Q1282130,P31,Q4830453
Q1282130,P1056,Q22656
Q7204,P31,Q82794
Q727002,P31,Q49848
Q727002,P31,Q93288
Q34394,P1889,Q34302
Q1041750,P31,Q167270
Q1041750,P31,Q44
Q1041750,P31,Q131734
Q1041750,P452,Q869095
Q1041750,P1056,Q44
Q171558,P1542,Q193078
Q171558,P1542,Q4
Q5113,P1672,Q10990
Q178559,P279,Q2095
Q25653,P279,Q11446
Q187456,P1889,Q131734
Q193168,P156,Q344
Q193168,P155,Q192630
Q193168,P361,Q11471
Q482798,P111,Q36253
Q167903,P828,Q7944
Q3957,P361,Q6256
Q3957,P1889,Q515
Q3957,P279,Q177634
Q3957,P3730,Q515
Q500251,P279,Q43845
Q191086,P279,Q82794
Q161,P279,Q214609
Q161,P366,Q28823
Q11573,P111,Q36253
Q11573,P111,Q126017
Q1267889,P276,Q4022
Q1267889,P276,Q12284
Q1267889,P276,Q23397
Q606013,P31,Q4830453
Q4421,P527,Q10884
Q41207,P1557,Q1368
Q41207,P279,Q693464
Q11423,P1552,Q122508
Q11423,P1552,Q11379
Q11423,P361,Q11402
